order,name,internal_var,namelist,group,group_cn,dtype,default,size,description,usage,condition,source,line,source_use_count,source_use_files,source_usage_summary,source_use_examples
543,zcenter,zcenter,&inputnl,Mesh,网格,real,0.,1,center of logical mesh (z),托卡马克：`igeometry=0` 时不用于平衡与 mesh 对齐。仿星器：逻辑圆盘中心的 z 坐标，与 `xcenter` 共同定义 rho 和 theta；必须与逻辑 mesh 圆心一致。,,unstructured/input.f90,1198,19,unstructured/init_common.f90(9); unstructured/transport.f90(5); unstructured/physical_mesh.f90(3); unstructured/init_vmec.f90(2),"源码引用 19 处；主要在 `init_common.f90` 9处, `transport.f90` 5处, `physical_mesh.f90` 3处, `init_vmec.f90` 2处。","unstructured/init_common.f90:336: temp79b = sqrt((xl_79-xcenter)**2 + (zl_79-zcenter)**2 + regular**2)
unstructured/init_common.f90:346: temp79b = (xl_79-xcenter)**2 + (zl_79-zcenter)**2 + regular**2
unstructured/init_common.f90:503: temp79b = (xl_79-xcenter)**2 + (zl_79-zcenter)**2
unstructured/init_common.f90:529: temp79b = (xl_79-xcenter)**2 + (zl_79-zcenter)**2
unstructured/init_common.f90:545: temp79b = (xl_79-xcenter)**2 + (zl_79-zcenter)**2
unstructured/init_common.f90:586: temp79b = (xl_79 - xcenter)**2 + (zl_79 - zcenter)**2
unstructured/init_common.f90:629: temp79b = (xl_79 - xcenter)**2 + (zl_79 - zcenter)**2
unstructured/init_common.f90:653: temp79b = (xl_79 - xcenter)**2 + (zl_79 - zcenter)**2
unstructured/init_common.f90:678: temp79b = sqrt((xl_79-xcenter)**2 + (zl_79-zcenter)**2+1e-8)
unstructured/init_vmec.f90:313: r = sqrt((x - xcenter)**2 + (z - zcenter)**2 + regular**2)"
544,bloat_factor,bloat_factor,&inputnl,Mesh,网格,real,0.,1,factor to expand VMEC domain,托卡马克：不使用。仿星器：把 VMEC 几何径向外推到放大的计算边界；0 不按比例扩展。固定边界 `itaylor=40` 的检查要求它为 0；自由边界/外场域可非零。若同时给 `bloat_distance`，后者优先并把本参数置 0。,,unstructured/input.f90,1199,7,unstructured/read_vmec.f90(5); unstructured/init_conds.f90(2),"源码引用 7 处；主要在 `read_vmec.f90` 5处, `init_conds.f90` 2处。","unstructured/init_conds.f90:641: if (igeometry.eq.1 .and. iread_vmec.eq.1 .and. bloat_factor.eq.0) then
unstructured/init_conds.f90:645: 'VMEC equilibrium needs igeometry=1, iread_vmec=1, and bloat_factor=0!'
unstructured/read_vmec.f90:68: if(bloat_factor.ne.0 .or. bloat_distance.ne.0) then
unstructured/read_vmec.f90:118: if(bloat_factor.ne.0 .or. bloat_distance.ne.0) then
unstructured/read_vmec.f90:662: bloat_factor = 0 ! bloat_distance overrides bloat_factor
unstructured/read_vmec.f90:664: else if(bloat_factor.ne.0) then
unstructured/read_vmec.f90:667: s_bloat = s_vmec*bloat_factor**2"
545,bloat_distance,bloat_distance,&inputnl,Mesh,网格,real,0.,1,factor to expand VMEC domain,托卡马克：不使用。仿星器：沿 VMEC 磁面外法向按距离扩展计算边界，并覆盖 `bloat_factor` 的作用。固定边界 case 建议保持 0；外扩域不会自动生成真空、壁或 LCFS 的 zone 标签。,,unstructured/input.f90,1200,6,unstructured/read_vmec.f90(6),源码引用 6 处；主要在 `read_vmec.f90` 6处。,"unstructured/read_vmec.f90:68: if(bloat_factor.ne.0 .or. bloat_distance.ne.0) then
unstructured/read_vmec.f90:118: if(bloat_factor.ne.0 .or. bloat_distance.ne.0) then
unstructured/read_vmec.f90:651: if(bloat_distance.ne.0) then
unstructured/read_vmec.f90:653: + bloat_distance*sqrt(s_vmec(i))*dz/sqrt(dz**2+dr**2)
unstructured/read_vmec.f90:655: - bloat_distance*sqrt(s_vmec(i))*dr/sqrt(dz**2+dr**2)
unstructured/read_vmec.f90:661: if(bloat_distance.ne.0) then"
546,nzer_factor,nzer_factor,&inputnl,Mesh,网格,integer,-1,1,scale factor for order of VMEC interpolation,托卡马克：不使用。仿星器：控制 VMEC R/Z 几何转为 Zernike 径向表示的阶数；非负时取 `n_zer=mpol*nzer_factor`，但仅在 `nzer_manual<0` 时使用。-1 采用程序默认。,,unstructured/input.f90,1201,2,unstructured/read_vmec.f90(2),源码引用 2 处；主要在 `read_vmec.f90` 2处。,"unstructured/read_vmec.f90:128: if(nzer_factor.ge.0 .and. nzer_manual.lt.0) then
unstructured/read_vmec.f90:129: n_zer = m_pol*nzer_factor"
547,nzer_manual,nzer_manual,&inputnl,Mesh,网格,integer,-1,1,order of VMEC interpolation,托卡马克：不使用。仿星器：手动指定 VMEC 几何的 Zernike 径向阶数；只有不低于程序默认阶数时才覆盖默认值，且优先于 `nzer_factor`。主要用于分辨率测试。,,unstructured/input.f90,1203,3,unstructured/read_vmec.f90(3),源码引用 3 处；主要在 `read_vmec.f90` 3处。,"unstructured/read_vmec.f90:124: if(nzer_manual.ge.0 .and. nzer_manual.ge.n_zer) then
unstructured/read_vmec.f90:125: n_zer = nzer_manual
unstructured/read_vmec.f90:128: if(nzer_factor.ge.0 .and. nzer_manual.lt.0) then"
548,iread_planes,iread_planes,&inputnl,Mesh,网格,integer,0,1,Read positions of toroidal planes from plane_positions,托卡马克：3D 时 1 从 `plane_positions` 读取每个环向平面角度；否则均匀或按 toroidal packing 生成。仿星器：用法相同，但每个角度必须位于当前完整环面或周期扇区的范围内，文件行数必须等于 `nplanes`。,,unstructured/input.f90,1205,1,unstructured/scorec_mesh.f90(1),源码引用 1 处；主要在 `scorec_mesh.f90` 1处。,unstructured/scorec_mesh.f90:143: if(iread_planes.eq.1) then
549,xzero,xzero,&inputnl,Mesh,网格,real,0.,1,源码 `add_var_*` 注册说明为空；请结合所在逻辑组和下方源码使用位置判断。,托卡马克：某些解析初值、诊断和参考轴使用的 R 参考位置；不会移动 `mesh_filename` 中的节点，也不能用来使 mesh 对齐 gfile。仿星器：逻辑映射中心应使用 `xcenter`，本参数通常保持默认，仅少数测试/诊断使用。,,unstructured/input.f90,1207,32,unstructured/init_gmode.f90(6); unstructured/init_mri.f90(6); unstructured/read_jsolver.f90(3); unstructured/scorec_mesh.f90(3); unstructured/diagnostics.f90(2); unstructured/rmp.f90(2); unstructured/basic_mesh.f90(1); unstructured/geometry.f90(1),"源码引用 32 处；主要在 `init_gmode.f90` 6处, `init_mri.f90` 6处, `read_jsolver.f90` 3处, `scorec_mesh.f90` 3处。","unstructured/basic_mesh.f90:120: nodes(i)%R = nodes(i)%R + xzero
unstructured/diagnostics.f90:638: xrel = xzero
unstructured/diagnostics.f90:643: xrel = alx/2. + xzero
unstructured/geometry.f90:197: theta = atan2(z - zzero, x - xzero)
unstructured/init_common.f90:60: xx = x - xzero
unstructured/init_conds.f90:133: xx = x - xzero
unstructured/init_force_free.f90:26: x = x - alx*.5 - xzero
unstructured/init_gem.f90:33: x = x - alx*.5 - xzero
unstructured/init_gmode.f90:113: den1_l(1) = eps*sin(kx*(x-xzero))*sin(kz*(z-zzero))
unstructured/init_gmode.f90:114: den1_l(2) = eps*cos(kx*(x-xzero))*sin(kz*(z-zzero))*kx"
550,zzero,zzero,&inputnl,Mesh,网格,real,0.,1,源码 `add_var_*` 注册说明为空；请结合所在逻辑组和下方源码使用位置判断。,托卡马克：某些解析初值、诊断和参考轴使用的 Z 参考位置；不会平移已读入 mesh。仿星器：逻辑映射中心应使用 `zcenter`，本参数通常保持默认。,,unstructured/input.f90,1208,28,unstructured/init_gmode.f90(6); unstructured/init_mri.f90(6); unstructured/scorec_mesh.f90(3); unstructured/diagnostics.f90(2); unstructured/rmp.f90(2); unstructured/basic_mesh.f90(1); unstructured/geometry.f90(1); unstructured/init_common.f90(1),"源码引用 28 处；主要在 `init_gmode.f90` 6处, `init_mri.f90` 6处, `scorec_mesh.f90` 3处, `diagnostics.f90` 2处。","unstructured/basic_mesh.f90:121: nodes(i)%Z = nodes(i)%Z + zzero
unstructured/diagnostics.f90:639: zrel = alz/2. + zzero
unstructured/diagnostics.f90:644: zrel = alz/2. + zzero
unstructured/geometry.f90:197: theta = atan2(z - zzero, x - xzero)
unstructured/init_common.f90:61: zz = z - zzero
unstructured/init_conds.f90:134: zz = z - zzero
unstructured/init_force_free.f90:27: z = z - alz*.5 - zzero
unstructured/init_gem.f90:34: z = z - alz*.5 - zzero
unstructured/init_gmode.f90:113: den1_l(1) = eps*sin(kx*(x-xzero))*sin(kz*(z-zzero))
unstructured/init_gmode.f90:114: den1_l(2) = eps*cos(kx*(x-xzero))*sin(kz*(z-zzero))*kx"
551,tiltangled,tiltangled,&inputnl,Mesh,网格,real,0.,1,源码 `add_var_*` 注册说明为空；请结合所在逻辑组和下方源码使用位置判断。,托卡马克：给矩形测试网格的边界法向加入旋转角，不会旋转任意外部 mesh 的节点。仿星器：VMEC 曲边界使用映射几何法向，通常保持 0。,,unstructured/input.f90,1209,1,unstructured/scorec_mesh.f90(1),源码引用 1 处；主要在 `scorec_mesh.f90` 1处。,unstructured/scorec_mesh.f90:954: angler = tiltangled*pi/180.
552,mesh_filename,mesh_filename,&inputnl,Mesh,网格,character(len=256),struct-dmg.sms,1,源码 `add_var_*` 注册说明为空；请结合所在逻辑组和下方源码使用位置判断。,托卡马克：二维物理 R-Z 有限元 mesh 文件；几何范围应覆盖目标等离子体、真空和壁区域并落在所需平衡数据范围内。仿星器：二维逻辑圆盘 mesh 文件，通常外边界 rho=1，随后映射为三维物理几何。 字符串值可写成 `name = value` 或带引号形式；解析器会去掉首尾引号。,,unstructured/input.f90,1210,3,unstructured/scorec_mesh.f90(3),源码引用 3 处；主要在 `scorec_mesh.f90` 3处。,"unstructured/scorec_mesh.f90:27: character(len=256) mesh_filename
unstructured/scorec_mesh.f90:139: write(name_buff,""(A,A)"") mesh_filename(1:len_trim(mesh_filename)),0
unstructured/scorec_mesh.f90:203: write(name_buff,""(A,A)"") mesh_filename(1:len_trim(mesh_filename)),0"
553,mesh_model,mesh_model,&inputnl,Mesh,网格,character(len=256),struct.dmg,1,源码 `add_var_*` 注册说明为空；请结合所在逻辑组和下方源码使用位置判断。,托卡马克：与 `mesh_filename` 配套的几何模型，保存边界实体和 zone 拓扑。仿星器：与逻辑 mesh 配套的模型；模型标签定义逻辑分区，不会根据 VMEC 自动改成物理 plasma/vacuum/conductor 分区。 字符串值可写成 `name = value` 或带引号形式；解析器会去掉首尾引号。,,unstructured/input.f90,1212,3,unstructured/scorec_mesh.f90(3),源码引用 3 处；主要在 `scorec_mesh.f90` 3处。,"unstructured/scorec_mesh.f90:26: character(len=256) mesh_model
unstructured/scorec_mesh.f90:137: write(name_buff,""(A,A)"") mesh_model(1:len_trim(mesh_model)),0
unstructured/scorec_mesh.f90:197: write(name_buff,""(A,A)"") mesh_model(1:len_trim(mesh_model)),0"
554,model_info,model_info,&inputnl,Mesh,网格,character(len=256),dummyInfo,1,源码 `add_var_*` 注册说明为空；请结合所在逻辑组和下方源码使用位置判断。,托卡马克：仅 `USECADMODEL` 编译路径加载的额外 CAD model-info 文件，普通 `.dmg/.txt` 工作流不设置。仿星器：条件和用途相同，不参与 VMEC 几何映射。 字符串值可写成 `name = value` 或带引号形式；解析器会去掉首尾引号。,,unstructured/input.f90,1214,3,unstructured/scorec_mesh.f90(2); m3dc1_scorec/api/m3dc1_scorec.cc(1),"源码引用 3 处；主要在 `scorec_mesh.f90` 2处, `m3dc1_scorec.cc` 1处。","unstructured/scorec_mesh.f90:28: character(len=256) model_info
unstructured/scorec_mesh.f90:200: write(name_buff,""(A,A)"") model_info(1:len_trim(model_info)),0
m3dc1_scorec/api/m3dc1_scorec.cc:929: std::cout << ""Make sure to provide model_info file since model is .dmg\n"";"
555,ipartitioned,ipartitioned,&inputnl,Mesh,网格,integer,0,1,1 = the input mesh is partitioned,托卡马克：当前主源码只注册和保存该值，活动的 SCOREC `load_mesh` 没有按它分支。仿星器：行为相同，也不能用它切换逻辑 mesh 的装载方式；两者都应直接提供与运行方式匹配的 mesh 文件。,,unstructured/input.f90,1216,0,,未发现除注册/声明外的源码引用；可能是废弃参数、条件编译路径参数，或仅由外部工具/库间接使用。,
556,imatassemble,imatassemble,&inputnl,Mesh,网格,integer,0,1,0: use scorec matrix parallel assembly; 1 use petsc,托卡马克：0 使用 SCOREC、1 使用 PETSc 进行并行矩阵装配，不改变物理 R-Z mesh。仿星器：后端选择相同，不改变逻辑到物理的几何映射、区域或平衡场。,,unstructured/input.f90,1218,1,unstructured/newpar.f90(1),源码引用 1 处；主要在 `newpar.f90` 1处。,unstructured/newpar.f90:175: call m3dc1_matrix_setassembleoption(imatassemble)
557,is1_agg_blks,is1_agg_blk_cnt,&inputnl,Mesh,网格,integer,1,1,number of blocks to divide each node of dofs into for matrix s1,托卡马克：仅 `REORDERED` 编译时注册，设置 S1 矩阵每节点自由度聚合块数。仿星器：用法相同；只影响求解性能，不改变物理网格或 VMEC 映射。,ifdef REORDERED,unstructured/input.f90,1221,2,unstructured/time_step_split.f90(1); unstructured/time_step_unsplit.f90(1),"源码引用 2 处；主要在 `time_step_split.f90` 1处, `time_step_unsplit.f90` 1处。","unstructured/time_step_split.f90:192: call create_mat(s1_mat, vecsize_vel, vecsize_vel, icomplex, 1, is1_agg_blk_cnt, is1_agg_scp)
unstructured/time_step_unsplit.f90:59: call create_mat(s1_mat, vecsize_phi, vecsize_phi, icomplex, 1, is1_agg_blk_cnt, is1_agg_scp)"
