category,doc_name,source_name,source_default,doc_default,note
source_registered_not_found_in_official_doc,,fast_ion_z,0.,,源码注册在 Particle Simulation Options；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,fast_ion_dist,1,,源码注册在 Particle Simulation Options；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,fast_ion_max_energy,1000.,,源码注册在 Particle Simulation Options；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,num_par_max,4000000,,源码注册在 Particle Simulation Options；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,num_par_scale,1.,,源码注册在 Particle Simulation Options；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,kinetic_nrmfac_scale,1.,,源码注册在 Particle Simulation Options；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,ikinetic_vpar,0,,源码注册在 Particle Simulation Options；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,kinetic_rhomax,1.,,源码注册在 Particle Simulation Options；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,vpar_reduce,0.,,源码注册在 Particle Simulation Options；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,idiamagnetic_advection,0,,源码注册在 Particle Simulation Options；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,imode_filter,0,,源码注册在 Particle Simulation Options；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,mode_filter_ntor,0,,源码注册在 Particle Simulation Options；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,smooth_par,1.e-8,,源码注册在 Particle Simulation Options；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,smooth_dens_parallel,0.,,源码注册在 Particle Simulation Options；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,ntimers,0,,源码注册在 Output；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,iwrite_adjacency,1,,源码注册在 Output；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,iwrite_quad_points,0,,源码注册在 Output；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,iwrite_restart,0,,源码注册在 Deprecated；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,zeff,0.,,源码注册在 Deprecated；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,iwrite_adios,0,,源码注册在 Deprecated；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,iglobalout,0,,源码注册在 Deprecated；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,iglobalin,0,,源码注册在 Deprecated；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,iread_adios,0,,源码注册在 Deprecated；未在 doc/*.tex 中直接提到。
source_registered_not_found_in_official_doc,,iread_hdf5,1,,源码注册在 Deprecated；未在 doc/*.tex 中直接提到。
