参数名,数据类型,默认值,含义
nzer_factor,integer,-1,scale factor for order of VMEC interpolation；托卡马克：不使用。仿星器：控制 VMEC R/Z 几何转为 Zernike 径向表示的阶数；非负时取 `n_zer=mpol*nzer_factor`，但仅在 `nzer_manual<0` 时使用。-1 采用程序默认
nzer_manual,integer,-1,order of VMEC interpolation；托卡马克：不使用。仿星器：手动指定 VMEC 几何的 Zernike 径向阶数；只有不低于程序默认阶数时才覆盖默认值，且优先于 `nzer_factor`。主要用于分辨率测试
iread_planes,integer,0,Read positions of toroidal planes from plane_positions；托卡马克：3D 时 1 从 `plane_positions` 读取每个环向平面角度；否则均匀或按 toroidal packing 生成。仿星器：用法相同，但每个角度必须位于当前完整环面或周期扇区的范围内，文件行数必须等于 `nplanes`
xzero,real,0.,托卡马克：某些解析初值、诊断和参考轴使用的 R 参考位置；不会移动 `mesh_filename` 中的节点，也不能用来使 mesh 对齐 gfile。仿星器：逻辑映射中心应使用 `xcenter`，本参数通常保持默认，仅少数测试/诊断使用
zzero,real,0.,托卡马克：某些解析初值、诊断和参考轴使用的 Z 参考位置；不会平移已读入 mesh。仿星器：逻辑映射中心应使用 `zcenter`，本参数通常保持默认
tiltangled,real,0.,托卡马克：给矩形测试网格的边界法向加入旋转角，不会旋转任意外部 mesh 的节点。仿星器：VMEC 曲边界使用映射几何法向，通常保持 0
mesh_filename,character(len=256),struct-dmg.sms,托卡马克：二维物理 R-Z 有限元 mesh 文件；几何范围应覆盖目标等离子体、真空和壁区域并落在所需平衡数据范围内。仿星器：二维逻辑圆盘 mesh 文件，通常外边界 rho=1，随后映射为三维物理几何
mesh_model,character(len=256),struct.dmg,托卡马克：与 `mesh_filename` 配套的几何模型，保存边界实体和 zone 拓扑。仿星器：与逻辑 mesh 配套的模型；模型标签定义逻辑分区，不会根据 VMEC 自动改成物理 plasma/vacuum/conductor 分区
model_info,character(len=256),dummyInfo,托卡马克：仅 `USECADMODEL` 编译路径加载的额外 CAD model-info 文件，普通 `.dmg/.txt` 工作流不设置。仿星器：条件和用途相同，不参与 VMEC 几何映射
ipartitioned,integer,0,1 = the input mesh is partitioned；托卡马克：当前主程序只注册和保存该值，活动的 SCOREC `load_mesh` 没有按它分支。仿星器：行为相同，也不能用它切换逻辑 mesh 的装载方式；两者都应直接提供与运行方式匹配的 mesh 文件
imatassemble,integer,0,0: use scorec matrix parallel assembly; 1 use petsc；托卡马克：0 使用 SCOREC、1 使用 PETSc 进行并行矩阵装配，不改变物理 R-Z mesh。仿星器：后端选择相同，不改变逻辑到物理的几何映射、区域或平衡场
is1_agg_blks,integer,1,number of blocks to divide each node of dofs into for matrix s1；托卡马克：仅 `REORDERED` 编译时注册，设置 S1 矩阵每节点自由度聚合块数。仿星器：用法相同；只影响求解性能，不改变物理网格或 VMEC 映射；仅在满足条件编译 `ifdef REORDERED` 时可用
is1_agg_scp,integer,0,"0: per-rank aggregation, 1: per-plane aggregation, 2: global aggregation；托卡马克：仅 `REORDERED` 编译时注册；0 每 MPI rank、1 每环向平面、2 全局聚合。仿星器：取值相同，按所选周期域的平面组织聚合；不改变几何；仅在满足条件编译 `ifdef REORDERED` 时可用"
imulti_region,integer,0,1 = Mesh has multiple physical regions；托卡马克：0 时全部单元自动视为 plasma；1 时必须用 `boundary_type/zone_type` 明确等离子体、真空和导体区，适合第一壁/电阻壁计算。仿星器：语法相同，但标签只分类逻辑 mesh 的既有单元，程序不会根据 VMEC LCFS 或外场自动判定区域；必须先保证映射后的物理位置合理
toroidal_pack_factor,real,1.,ratio of longest to shortest toroidal element；托卡马克：3D 且 `iread_planes=0` 时，>1 在 `toroidal_pack_angle` 附近加密环向平面；1 均匀。仿星器：作用相同，但需在所选周期域内兼顾 VMEC/外场模数解析；不改变二维截面网格
toroidal_pack_angle,real,0.,toroidal angle of maximum mesh packing；托卡马克：`toroidal_pack_factor>1` 且未读 `plane_positions` 时的最大环向加密角，必须位于托卡马克计算域内。仿星器：定义相同，但角度必须位于当前完整环面或场周期扇区内
boundary_type,integer array,0,Type of each mesh boundary.；托卡马克：`imulti_region=1` 时按几何边编号标记 1=第一壁、2=计算域外边界；它决定边界条件作用位置。仿星器：取值相同，但标记的是逻辑模型边，映射后才成为物理边界；不会自动等于 VMEC LCFS；数组长度/上限：1000
zone_type,integer array,0,Type of each mesh boundary.；托卡马克：`imulti_region=1` 时按 zone 编号标记 1=plasma、2=conductor、3=vacuum。仿星器：取值相同，但必须由用户确认逻辑 zone 经 VMEC/bloat 映射后确实落在相应物理区域；程序只检查标签是否存在，不检查与平衡的一致性；数组长度/上限：100
iread_eqdsk,integer,0,托卡马克：轴对称 g-file 平衡入口。1 直接投影 `geqdsk`；2 读入 gfile 后在 GS 中改用默认压力/F；3 不使用 `psirz`，只取磁轴、电流和剖面重新求解 GS。仿星器：必须为 0；非零值的执行优先级高于 `itaylor=40/41`
iread_dskbal,integer,0,托卡马克：旧 BAL 平衡入口。1 使用文件 psi、F、FF′、ne 并由 ne(Te+Ti) 计算压力；2 压力/F 改用默认剖面；两者都调用 GS。仿星器：必须为 0，否则屏蔽 VMEC/外场初始化
iread_jsolver,integer,0,托卡马克：旧 Jsolver 平衡入口，读取 `fixed`；`igs>0` 时 1 使用文件 p/F、2 改用默认 p/F，`igs=0` 时直接投影。仿星器：必须为 0，否则屏蔽 VMEC/外场初始化
iread_omega,integer,0,托卡马克：仅 GS 且 `irot!=0` 时读取，模式 1/2/3/4/5/20 分别对应 `profile_omega`、`dtrot.xy`、`profile_vphi`、rho 文件、带表头文件和 `iterdb`，之后乘 `vscale`。仿星器：VMEC 与 `itaylor=41` 路径均不读取；`iread_omega_e` 与 `iread_omega_ExB` 会在校验阶段映射到同一个内部选择量；`irot=0` 时不会读取文件；`iread_omega_e` 或 `iread_omega_ExB` 非零时会写入同一个内部 `iread_omega`，且与已有 `iread_omega` 互斥
iread_omega_e,integer,0,Read electron rotation (same options as iread_omega)；托卡马克：文件模式同 `iread_omega`，随后扣除完整抗磁项换算为离子角频率。仿星器：不读取。与 `iread_omega`、`iread_omega_ExB` 严格互斥
iread_omega_ExB,integer,0,Read ExB rotation (same options as iread_omega)；托卡马克：文件模式同 `iread_omega`，随后扣除离子抗磁项换算为离子角频率。仿星器：不读取。与 `iread_omega`、`iread_omega_e` 严格互斥
iread_ne,integer,0,托卡马克：GS 使用 1/2/4/10/20 读取 psi、rho、Corsica 或 iterdb 密度。仿星器：固定边界 VMEC 用 21 读取 `n_profile(s)`；21 不用于 `itaylor=41`，该路径可用 22 的 `n_profile(s)` 或 23 的 `n_profile_vs_p` 在平衡后重写密度。两种装置中 `den_edge>0` 均与非零值冲突；GS 路径的 1/2/4/10/20 建立磁通函数；VMEC/ST 的 21/22/23 分别在 VMEC 投影中或后续 `den_eq` 中写入密度
iread_te,integer,0,托卡马克：GS 使用 1/2/4/10/20 读取不同坐标和单位的 Te。仿星器：仅固定边界 VMEC 的 21 读取 `te_profile(s)`；自由边界路径不读取。两种装置中 `tedge>0` 均与非零值冲突；GS 路径的 1/2/4/10/20 分别采用 psi、rho、Corsica 或 iterdb 坐标；VMEC 的 21 采用逻辑 `s=rho^2`
iread_p,integer,0,"托卡马克：GS 中 1 读取 `profile_p(psi_N,p)`，替换 gfile/旧平衡或默认压力剖面。仿星器：固定边界 VMEC 中 21 读取 `p_profile(s,p)` 并替换 wout 的 `presf` 压力场，但不改变几何和磁场；自由边界路径不读取；GS 外部压力剖面会替换 gfile/dskbal/jsolver 或默认剖面；VMEC 外部压力只替换压力场，不改变 wout 的几何和磁场"
iread_f,integer,0,"Read profile_f file containing F=R*B_phi vs Psi_N for GS solve；托卡马克：GS 中 1 读取 `profile_f(psi_N,F)`，其中 F 满足 \(F=R B_\phi\)；该文件替换 F，并按最外点重设 `bzero`。仿星器：不读取，VMEC 磁场仍来自 wout，`itaylor=41` 磁场来自外场文件"
iread_j,integer,0,"Read profile_j file containing toroidal J_phi(r) (basicj equilibrium only)；托卡马克：常规轴对称 GS 不使用；仅非托卡马克圆柱测试路径 `itor=0,itaylor=33` 读取 `profile_j(r,J_phi)`。仿星器：不使用"
iread_heatsource,integer,0,托卡马克：1 读取 `profile_heatsource(psi_N)`。仿星器：1 读取同名文件，但横坐标解释为逻辑 `s=xl^2+zl^2`。两者均把第二列乘 `ghs_rate` 并与其他热源相加，且只在非线性压力/温度方程中生效
iread_particlesource,integer,0,"托卡马克：1 读取 `profile_particlesource(psi_N)`。仿星器：1 读取同名文件，但横坐标解释为逻辑 `s=xl^2+zl^2`。两者均把第二列乘输入参数 `pellet_rate` 并与其他密度源相加，且要求 `idens=1,linear=0`"
iread_neo,integer,0,Read velocity data from NEO output；托卡马克：1 读取三类 NEO 输出和 GYRO `input.profiles`；环向速度叠加到已有 `vz`，极向速度重写 `u/chi`，非 plasma 磁区置零。仿星器：没有与 VMEC 逻辑坐标配套的专用实现，建议保持 0
ineo_subtract_diamag,integer,0,"Subtract diamag. term from input vel. when reading NEO vel.；托卡马克：仅 `iread_neo=1,db!=0` 时从 NEO 环向速度扣除离子抗磁贡献。仿星器：随 `iread_neo` 保持 0"
itaylor,integer,0,托卡马克：当三个外部平衡入口均为 0 时选择内置初始化；`itaylor=1` 进入 GS，19 为 Solovev，24 为 RWM，29/31 为 basicJ，-1 为常量场。仿星器：40 直接投影固定边界 VMEC 平衡；41 从三维 total/external field 初始化，程序不求解 VMEC 自由边界平衡；主初始化分发开关；不同几何下选择 tilting cylinder、GS、VMEC/stellarator、fixed-q、basicJ、RWM、wave/diffusion tests 等分支
iupstream,integer,0,托卡马克与仿星器：环向数值上风/稳定化开关，不选择平衡。0 关闭；1 把 `magus` 给出的人工环向二阶项加到已有系数；2 用该人工项替代相应系数。它在时间演化算子中生效
magus,real,5.e-2,托卡马克与仿星器：`iupstream=1/2` 时人工环向二阶稳定项的无量纲强度；常与局部场或速度绝对值相乘。0 不一定关闭，关闭应设 `iupstream=0`
iflip,integer,0,托卡马克与仿星器：新启动时把坐标系手性翻转，统一反号 psi、环向场、速度势和环向速度，并反号 `vloop/tcur`；这是整体坐标约定变换，不等同于单独反转 B、J 或 V。restart 路径不再次调用该初始翻转
iflip_b,integer,0,Reverse equilibrium toroidal field；托卡马克：平衡和已构造外场的环向磁场反号。仿星器：固定 VMEC 或外场初始化后同样反转环向场分量；必须确保输入场、诊断和模数符号约定一致
iflip_j,integer,0,Reverse equilibrium toroidal current；托卡马克：反转平衡极向磁通，从而反转环向电流；`icsubtract=1` 时线圈磁通也反号。gfile 负电流已自动处理，`iflip_j=1` 会中止并提示用 2 强制覆盖。仿星器：同样反转 psi 表示，通常不应把它当作重新求解电流剖面
iflip_v,integer,0,Reverse equilibrium toroidal velocity；托卡马克与仿星器：1 反转平衡环向速度；-1 把平衡环向速度清零；0 保持初始化结果。它在平衡与 NEO 速度处理完成后执行
iflip_z,integer,0,托卡马克：当前程序只在 gfile 初始化中令 `zmaxis=-zmaxis`，并未同时镜像 `psirz`、mesh 或其它场，不能视为完整的上下翻转。仿星器：VMEC/外场路径没有活动使用
icsym,integer,0,"托卡马克：控制 `eps` 初始扰动的上下对称性，0 无约束，1 仅给 U 加奇对称扰动，2 仅给 U 加偶对称扰动，3 使用确定性的 (1,1) 型扰动。仿星器：取值相同，但随机形状在逻辑网格坐标中构造后映射到物理空间"
bzero,real,1.,托卡马克：解析/GS 初始化的参考环向场，通常表示 `rzero` 处 Bphi；gfile 会以最外层 `fpol/rmaxis` 覆盖它，`profile_f` 与 GS 磁场缩放还可再次改写。仿星器：固定 VMEC 的 B 直接来自 wout，三维外场来自场文件，本参数不替代这些数据；TF 倾斜/平移解析误差场仍会用到它
bx0,real,0.,托卡马克：仅 wave、3D diffusion 等内置测试平衡的初始 x 向磁场幅值，gfile/GS 生产路径不使用。仿星器：`itaylor=40/41` 不使用
vzero,real,0.,托卡马克：若干解析初始化的环向/轴向速度标度；basicJ 用作核心平坦转动值，`itaylor=-1` 直接作为均匀环向速度。gfile/GS 的文件旋转由 Input 组控制。仿星器：VMEC/外场路径不从本参数建立旋转
phizero,real,0.,托卡马克：FRS、FTZ、eigen 等测试初始化中速度流函数 U 的扰动幅值；常规 gfile/GS 不使用。仿星器：`itaylor=40/41` 不使用
verzero,real,0.,托卡马克与仿星器：在 `init_perturbations` 中向 plasma zone 的扰动速度势加入 `R*verzero`，用于给定初始竖直速度；它是扰动层，不会改变读入平衡或 LCFS
v0_cyl,real,0.,托卡马克：只在 fixed-q/cylindrical 测试剖面中作为中心轴向速度常数项；gfile/GS 不使用。仿星器：`itaylor=40/41` 不使用
v1_cyl,real,0.,托卡马克：只在 fixed-q/cylindrical 测试剖面中作为随归一化磁通变化的速度幅值，形式为 `v0_cyl+v1_cyl*psi^beta`。仿星器：`itaylor=40/41` 不使用
idevice,integer,0,托卡马克：只服务 GS/PF 线圈场。当前程序实际实现 -1 读取 `coil.dat/current.dat`，0 使用 generic dipole；其它值进入无 PF 线圈的默认分支。仿星器：VMEC/三维场初始化不使用该设备选择
iwave,integer,0,托卡马克与仿星器生产平衡均不使用；只为 wave 测试初始化选择波支，具体可用取值随二维/三维测试例程而异
eps,real,0.01,"Magnitude of initial perturbations*；托卡马克：初始随机/确定性扰动幅度；`itor=0,irmp=2` 时还作为解析 m/n 真空场幅度。仿星器：固定 VMEC 和 total-field 路径也可用它给 plasma zone 添加初始流扰动，但不改变 wout/外场基态"
maxn,integer,200,托卡马克与仿星器：`icsym=0/1/2` 随机初始扰动的模循环上限，值越大包含的平面波越多、初始化代价越高；不控制 M3D-C1 实际环向网格分辨率
irmp,integer,0,"1: Apply nonaxisym. fields throughout plasma； 2: Apply mpol/ntor vacuum fields (itor=0 only)；托卡马克：1 读取/计算 RMP 与 error field 并投影到整个计算域；2 仅 `itor=0` 可用，在整个域评价解析 mpol/ntor 真空场。仿星器：`itaylor=41,type_ext_field=1,extsubtract=0` 已装入 total field 后会跳过第二次 RMP；固定 VMEC 或 subtraction 路径可另行调用外场处理"
rmp_atten,real,0.,"Additional exponential decay of RMP field from r=1 for irmp=2；托卡马克与仿星器环形生产路径不使用；只在 `itor=0,irmp=2` 中控制解析真空扰动从 r=1 起的指数因子。0 表示不加该衰减/增长因子"
tf_tilt,real,0.,Angle of TF from vertical (in degrees)；托卡马克：TF 线圈相对竖直方向的小倾斜角，单位度；程序据此构造非轴对称误差场并在基态后加入，不移动 mesh。仿星器：不是 VMEC 场线圈几何参数，通常保持 0
tf_tilt_angle,real,0.,Axis of rotation for TF tilt (in degrees)；托卡马克：`tf_tilt` 的旋转轴环向方位，单位度，只在 `tf_tilt!=0` 时生效。仿星器：通常不使用
tf_shift,real,0.,Horizontal shift of TF coil；托卡马克：TF 线圈水平平移幅度，用解析式生成误差场，不改变 mesh 或 GS 线圈坐标。仿星器：通常不使用
tf_shift_angle,real,0.,Direction of TF shift (in degrees)；托卡马克：`tf_shift` 的平移方向方位角，单位度，只在 `tf_shift!=0` 时生效。仿星器：通常不使用
pf_tilt,real array,0.,Angle of PF from vertical (in degrees)；托卡马克：PF 线圈逐线圈倾斜角数组，单位度；只有已经由 GS/`idevice=-1` 装载到 PF 线圈表的线圈才会产生误差场。仿星器：VMEC/外场路径没有 PF 线圈表，通常不使用；数组长度/上限：2000
pf_tilt_angle,real array,0.,Axis of rotation for PF tilt (in degrees)；托卡马克：每个 `pf_tilt(i)` 的旋转轴方位角数组，单位度，索引对应线圈组标签。仿星器：通常不使用；数组长度/上限：2000
pf_shift,real array,0.,Horizontal shift of PF coil；托卡马克：PF 线圈逐线圈水平平移数组；基于已加载线圈场导数构造非轴对称误差场，不修改轴对称 GS 线圈位置。仿星器：通常不使用；数组长度/上限：2000
pf_shift_angle,real array,0.,Direction of PF shift (in degrees)；托卡马克：每个 `pf_shift(i)` 的平移方向方位角数组，单位度。仿星器：通常不使用；数组长度/上限：2000
iread_ext_field,integer,0,1: Read external field；托卡马克：对 `type_ext_field<=0` 表示要读的 error-field 数据组数；1 读 `error_field`，大于 1 读 `error_field01...`。仿星器：`itaylor=41` 必须非零，当前读取器实际只装载索引 `iread_ext_field`，常规用法应取 1
isample_ext_field,integer,1,Factor to down-sample external field data toroidally；托卡马克：Schaffer error-field 数据的环向降采样因子。仿星器：仅场文件回退到 Schaffer 格式时使用；FIELDLINES/MGRID/HINT/MIPS 专用读取器不使用该因子
isample_ext_field_pol,integer,1,Factor to down-sample external field data poloidally；托卡马克：Schaffer error-field 数据的极向降采样因子。仿星器：仅 Schaffer 回退格式使用，专用三维场读取器不使用
scale_ext_field,real,1.,Factor to scale external field；托卡马克与仿星器：投影已读场数据时统一乘的幅值因子；会作用于该读取器装入的 `file_total_field/file_ext_field/error_field`，但不缩放 gfile 或 `itaylor=40` 直接读取的 wout 基态，也不重新求解平衡
shift_ext_field,real array,0.,Toroidal shift (in deg) of external fields；托卡马克与仿星器：各外场数据组的环向相位平移数组，单位度；3D 中通过改变取样角实现，complex 中转化为所选 `ntor` 的相位因子；数组长度/上限：8
type_ext_field,integer,-1,type of external field file；托卡马克：<=0 走 RMP/error-field；3 可从 `external_j` 电流数据求外场。仿星器：1 在 `itaylor=41` 中直接把 `file_total_field` 作为 total field；2 要求 `extsubtract=1`，先装 total field、再读 `file_ext_field` 并保存/扣除外场；`<=0` 用 tokamak RMP/error-field 分支，`=1/2` 用 stellarator/free-boundary 场文件，`=3` 从电流计算外场
file_ext_field,character(len=256),error_field,name of external field file；托卡马克：`type_ext_field<=0` 时此名称被忽略，文件名固定为 `error_field` 或 `error_fieldNN`。仿星器：`type_ext_field=2` 的真空/外部场文件；文件名前缀选择 FIELDLINES、MIPS、HINT、MGRID 读取器，其它名称按 Schaffer 格式
file_total_field,character(len=256),total_field,"name of total field file for ST；托卡马克：常规 RMP/GS 不使用。仿星器：`itaylor=41,type_ext_field=1/2` 的总磁场文件；1 直接作为基态，2 与 `file_ext_field` 组成 total-minus-external 的演化场分解"
beta,real,0.,托卡马克：仅 tilting/fixed-q 等模型平衡或测试问题中的无量纲形状/速度幂参数，不是由 gfile 得到的等离子体 beta，也不会覆盖压力。仿星器：`itaylor=40/41` 不使用
ln,real,0.,托卡马克：多个解析/测试平衡的特征径向尺度；basicJ 中是电流剖面半径，Solovev 中控制横向尺寸。它不是自然对数。仿星器：VMEC/外场平衡不使用，但 `icsym=3` 扰动包络仍可能引用
elongation,real,1.,托卡马克：仅 `itaylor=19` Solovev 解析平衡的伸长率。仿星器：VMEC 几何由傅里叶系数给出，本参数不使用
basicj_nu,real,1.,Exponent in basicj equilibrium；托卡马克：`itaylor=29/31` 电流剖面指数；若 `basicj_qa!=0` 会由 q0/qa 关系覆盖。仿星器：`itaylor=40/41` 不使用
basicj_j0,real,1.,On-axis current density in basicj equilibrium；托卡马克：basicJ 轴上电流密度幅值；若 `basicj_q0!=0`，程序用 `2*bzero/(rzero*q0)` 覆盖本值。仿星器：不使用
basicj_q0,real,0.,On-axis safety factor in basicj equilibrium (supersedes basicj_j0)；托卡马克：basicJ 轴上安全因子；非零时优先于 `basicj_j0` 并反算轴上电流。0 表示由 `basicj_j0` 反算 q0。仿星器：不使用
basicj_qa,real,0.,Edge safety factor in basicj equilibrium (supersedes basicj_nu)；托卡马克：basicJ 目标边缘安全因子；非零时覆盖 `basicj_nu`。`itaylor=31` 且显式给 `xlim!=0` 时程序会报错。仿星器：不使用
basicj_voff,real,1.,Radial extent of flat toroidal rotation in basicj equilibrium；托卡马克：basicJ 核心平坦环向速度区的径向范围；范围内速度基值为 `vzero`。仿星器：不使用
basicj_vdelt,real,1.,"Width of velocity drop-off, as fraction of ln, in basicj equilibrium；托卡马克：basicJ 平坦转动区外速度衰减宽度相对 `ln` 的系数，进入高斯型衰减分母。仿星器：不使用"
basicj_dexp,real,1.,托卡马克：basicJ 专用输运系数径向缩放函数的幂指数，配合 `basicj_dvac` 使黏性/热传导向外变化；不改变初始密度场本身。仿星器：不使用
basicj_dvac,real,1.,托卡马克：basicJ 专用输运系数缩放函数在 `r=ln` 处的目标倍率，影响相关黏性与热传导系数，不是外部真空区密度。仿星器：不使用
ibasicj_solvep,integer,0,"0: Uniform pressure, solve for F. 1: Uniform F, solve for pressure；托卡马克：仅 `itaylor=29/31`。0 使用解析压力并由给定 J 求 F；1 令 F 均匀并由 J 求压力。`itaylor=29` 的解析压力为常数，`itaylor=31` 的解析压力随半径衰减。仿星器：不使用"
inumgs,integer,0,托卡马克：0 使用程序内置解析 p、p'、F、FF' 形状；1 从固定文件 `profiles-p` 与 `profiles-g` 读取完整剖面并约束 GS。若 gfile 或 `iread_p/f` 已建立剖面，本开关不会再生效。仿星器：`itaylor=40/41` 不调用 GS，不使用
igs,integer,80,托卡马克：GS 最大 Picard 迭代次数；必须取正整数才会执行当前程序的 `1...igs` 循环，0 表示不求解。达到 `tol_gs` 可提前结束；负值在当前实现中不会产生迭代。仿星器：`itaylor=40/41` 不调用 GS，不使用
igs_pp_ffp_rescale,integer,0,Rescale p' and FF' to match p and F；托卡马克：1 仅在由 gfile 的 p、p'、F、FF' 建立约束剖面时，把 p' 与 FF' 的积分分别重标度到给定 p 与 F；同时改变 `batemanscale` 的应用顺序。0 保留文件导数。仿星器：不使用
igs_extend_p,integer,0,Extend p past Psi=1 using ne and Te profiles；托卡马克：非零时，若 ne 或 Te 剖面延伸到压力剖面末端之外，就用电子压力加保持末端 Ti 不变的离子压力延伸总压力，并重新计算 p'。0 不延伸。仿星器：不使用
igs_extend_diamag,integer,1,Extend diamagnetic rotation Psi=1；托卡马克：读取电子或 E×B 转动并换算离子转动时，0 在归一化磁通大于等于 1 处停止加入抗磁修正；非零则继续到转动样条末端。仿星器：不使用
igs_start_xpoint_search,integer,0,Number of GS its. before searching for xpoint；托卡马克：前 N 次 GS 迭代只在给定 `xnull/znull` 位置评价磁通，从第 N 次起在其附近搜索鞍点；0 表示初始化 LCFS 时即搜索。仿星器：不使用
igs_forcefree_lcfs,integer,-1,Ensure that GS solution is force-free at LCFS；托卡马克：控制 LCFS 外剖面处理。0 允许剖面按样条继续；1 在非 plasma magnetic region 令 p'、FF'、转动均为 0；2 令 p'、FF' 为 0，并把外侧转动保持为 LCFS 值。-1 会在校验时自动选 0 或 2。仿星器：不使用
nv1equ,integer,0,托卡马克：1 使非约束解析 GS 路径把 `gamma2/gamma3/gamma4` 全部置 0，跳过 q0、dJ/dpsi 和总电流约束；0 正常计算这些约束。名称中的 numvar 说明已不能完整代表当前行为。仿星器：不使用
igs_feedfac,integer,1,托卡马克：只按是否等于 1 作为 generic `idevice=0` 双 limiter 外场反馈开关；1 在第二轮以后根据两 limiter 的磁通差修正外边界场，其他值关闭。它不是连续比例系数。仿星器：不使用
eta_gs,real,1e3,Factor for smoothing nonaxisymmetries in psi in GS solve；托卡马克：仅 USE3D 编译中给 GS 矩阵加入环向导数惩罚，平滑 psi 的非轴对称分量；常规轴对称二维求解中无作用。仿星器：不使用
tcuro,real,1.,Total current in initial current filament；托卡马克：无 gfile 时是初始电流丝/高斯电流的总电流，也是非约束解析 GS 用 `gamma4` 保持的目标总等离子体电流；gfile 路径会用文件总电流覆盖。完整 p/F 约束路径不再用它重调总电流。仿星器：不使用
xmag,real,1.,R-coordinate of initial current filament；托卡马克：初始电流丝的 R 位置及磁轴搜索初猜；每次 LCFS 搜索后会更新为求得的磁轴 R。gfile 会先用 `rmaxis` 覆盖。仿星器：不使用
zmag,real,0.,Z-coordinate of initial current filament；托卡马克：初始电流丝的 Z 位置及磁轴搜索初猜；迭代中更新为求得的磁轴 Z，gfile 会先用 `zmaxis` 覆盖。仿星器：不使用
xmag0,real,0.,Target R-coordinate of magnetic axis for feedback；托卡马克：`idevice=-1` 线圈反馈的目标磁轴 R；磁轴反馈数组非零而本值为 0 时，自动取初始 `xmag`。还可被部分诊断参数引用。仿星器：不使用 GS 线圈反馈
zmag0,real,0.,Target Z-coordinate of magnetic axis for feedback；托卡马克：`idevice=-1` 线圈反馈的目标磁轴 Z；与 `xmag0` 配套，反馈是否启用由反馈数组决定。仿星器：不使用 GS 线圈反馈
xlim,real,0.,R-coordinate of limiter #1；托卡马克：内部 limiter #1 的物理 R 坐标；LCFS 候选取该点磁通。0 表示不设内部 limiter，并沿用第一壁/X 点给出的当前边界磁通。generic PF 场还用它估计小半径。仿星器：不使用
zlim,real,0.,Z-coordinate of limiter #1；托卡马克：内部 limiter #1 的物理 Z 坐标，仅在 `xlim!=0` 时与之配套评价磁通。仿星器：不使用
xlim2,real,0.,"R-coordinate of limiter #2；托卡马克：内部 limiter #2 的物理 R 坐标；大于 0 时作为第二个 LCFS 候选。`idevice=0,igs_feedfac=1` 时还与 limiter #1 的磁通差构成外场反馈。仿星器：不使用"
zlim2,real,0.,Z-coordinate of limiter #2；托卡马克：内部 limiter #2 的物理 Z 坐标，仅在 `xlim2>0` 时使用。仿星器：不使用
